identifier;author;title;journal;year;group-short;group-long;country
Haddoud2016;"Mounia Haddoud and A{\""{\i}}cha Mokhtari and Thierry Lecroq and Sa{\""{\i}}d Abdedda{\""{\i}}m";Combining supervised term-weighting metrics for SVM;Knowledge and Information Systems;2016;feature-weight;feature-weight;Algeria, Algeria, France, France
Alalga2016;Abdelouahid Alalga and Khalid Benabdeslem and Nora Taleb;Soft-constrained Laplacian score for semi-supervised multi-label feature selection;Knowledge and Information Systems;2016;feature-selection;feature-selection;Algeria, France, Algeria
Tommasel2016;Tommasel, Antonela and Godoy, Daniela;Short-text feature construction and selection in social media data: a survey;Artificial Intelligence Review;2016;feature-construction;feature-construction;Argentina, Argentina
Kang2016;Yong{-}Bin Kang and Pari Delir Haghighi and Frada Burstein;TaxoFinder: {A} Graph-Based Approach for Taxonomy Learning;IEEE Transactions on Knowledge and Data Engineering;2016;feature-construction;feature-construction;Australia, Australia, Australia
Xu2013;Xu, Chang and Tao, Dacheng and Xu, Chao;A survey on multi-view learning;arXiv preprint arXiv:1304.5634;2013;learning-multiview;learning-multiview;Australia, Australia, China
Pang2015;Pang, Guansong and Jin, Huidong and Jiang, Shengyi;CenKNN: a scalable and effective text classifier;Data \& Knowledge Engineering;2015;classification-system-and-application-areas;classification-system-and-application-areas;Australia, Australia, China
Ting99issuesin;Kai Ming Ting and Ian H. Witten;Issues in Stacked Generalization;Journal of Artificial Intelligence Research;1999;learning-ensamble;learning-ensamble;Australia, New Zealand
Chang2016;Chang, Xiaojun and Nie, Feiping and Yang, Yi and Zhang, Chengqi and Huang, Heng;Convex sparse PCA for unsupervised feature learning;ACM Transactions on Knowledge Discovery from Data;2016;feature-projection;feature-projection;Australia, United States, Australia, Australia, United States
Karystianis2017;Karystianis, George and Thayer, Kristina and Wolfe, Mary and Tsafnat, Guy;Evaluation of a rule-based method for epidemiological document classification towards the automation of systematic reviews;Journal of biomedical informatics;2017;classification-system-and-application-areas;classification-system-and-application-areas;Australia, United States, United States, Australia
Gomez2012;Gomez, Juan Carlos and Moens, Marie-Francine;PCA document reconstruction for email classification;Computational Statistics \& Data Analysis;2012;feature-projection;feature-projection;Belgium, Belgium
